SQLファイル名(.sqlを除く),x,y,対象期間項目名,規格適用開始期間(含む),規格適用終了期間(含む),品名(指定しない場合は'-'),規格Min,アラームMin,アラームMax,規格Max,hue(色分けを行わない場合は-),グラフタイトル,グラフタイトル,Y軸のLog表記を行うのであれば、TRUE,CHECK
N-electrode_Polish_InitialWaferThickness,STARTTIME,Thickness_Average,STARTTIME,12/1/2021,1/1/2100,-,,,,,PARTNUMBER,n電極形成 裏面研磨 初期ウェハ厚,n電極形成 裏面研磨 初期ウェハ厚,,OK
N-electrode_Polish_WaxThickness,STARTTIME,Thickness_Average,STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,n電極形成 裏面研磨 ワックス厚,n電極形成 裏面研磨 ワックス厚,,OK
N-electrode_Polish_RoughPolishedThickness,STARTTIME,Thickness_Average,STARTTIME,1/1/2010,1/1/2100,-,,,,,PARTNUMBER,n電極形成 裏面研磨 粗研磨後ウェハ厚,n電極形成 裏面研磨 粗研磨後ウェハ厚,,OK
N-electrode_Polish_MirrorPolishedThickness,STARTTIME,Thickness_Average,STARTTIME,1/1/2010,1/1/2100,-,86,88,100,102,PARTNUMBER,n電極形成 裏面研磨 鏡面研磨後ウェハ厚,n電極形成 裏面研磨 鏡面研磨後ウェハ厚,,OK
N-electrode_Polish_EtchedThickness,STARTTIME,Thickness_Average,STARTTIME,1/1/2010,1/1/2100,-,77,78,96,97,PARTNUMBER,n電極形成 裏面研磨 歪取りエッチング後ウェハ厚,n電極形成 裏面研磨 歪取りエッチング後ウェハ厚,,OK
P-electrode_EML_Deposition_Thickness,STARTTIME,Thickness.Thickness,STARTTIME,1/1/2010,1/1/2100,-,1.03,1.055,1.175,1.27,-,p電極形成 膜厚(EML),p電極形成 膜厚(EML),,OK
P-electrode_DML_Deposition_Thickness,STARTTIME,Thickness.Thickness,STARTTIME,1/1/2010,1/1/2100,-,0.467,0.48,0.62,0.633,-,p電極形成 膜厚(DML),p電極形成 膜厚(DML),,OK
P-electrode_EML_Deposition_Stress,STARTTIME,Stress_Stress,STARTTIME,1/1/2010,1/1/2100,-,,,,,-,p電極形成 張力(EML),p電極形成 張力(EML),,OK
P-electrode_DML_Deposition_Stress,STARTTIME,Stress.Stress,STARTTIME,1/1/2010,1/1/2100,-,-0.61,-0.73,-1.19,-1.3,-,p電極形成 張力(DML),p電極形成 張力(DML),,OK
N-electrode_EML_Deposition_Thickness,STARTTIME,Thickness.Thickness,STARTTIME,1/1/2010,1/1/2100,-,2700,2800,3600,3700,-,n電極形成 膜厚(EML),n電極形成 膜厚(EML),,OK
